Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Battle-related deaths (number of people),VC.BTL.DETH,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,South Sudan,SSD,..,..,493,735,484,526,110,58,188,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Sri Lanka,LKA,3622,2525,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Sudan,SDN,5030,2841,1264,1309,160,243,..,45,31,54,5315,..
Battle-related deaths (number of people),VC.BTL.DETH,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Syrian Arab Republic,SYR,..,..,51079,44938,25032,13246,7539,4862,1523,966,1664,..
Battle-related deaths (number of people),VC.BTL.DETH,Tajikistan,TJK,..,46,..,..,..,..,..,..,16,87,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Tanzania,TZA,..,..,..,..,..,..,..,25,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Thailand,THA,19,8,57,50,43,36,55,46,38,31,30,..
Battle-related deaths (number of people),VC.BTL.DETH,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Togo,TGO,..,..,..,..,..,..,..,..,..,34,26,..
Battle-related deaths (number of people),VC.BTL.DETH,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Trinidad and Tobago,TTO,39,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Tunisia,TUN,..,..,57,71,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Turkiye,TUR,526,153,902,1424,391,433,277,189,131,83,101,..
Battle-related deaths (number of people),VC.BTL.DETH,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Uganda,UGA,626,364,..,..,0,..,..,..,..,25,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Ukraine,UKR,..,..,1787,255,417,243,311,196,208,91685,70597,..
Battle-related deaths (number of people),VC.BTL.DETH,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,3,..,..
Battle-related deaths (number of people),VC.BTL.DETH,United Kingdom,GBR,41,..,..,..,..,..,1,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Uruguay,URY,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Uzbekistan,UZB,..,297,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
